Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),score,Tier
KBL,Kumari Bank,Commercial Banks,226.00,28.17,8.02,1.32,9.95,16.49,1.51,+76.81%,+31.89%,+32.61%,+7.74%,+5.66%,+7.11%,+20.47%,22,Strong
BNT,Bottlers Nepal (Terai),Manufacturing And Processing,"12,001.00",544.86,22.03,3.46,0.94,15.7,8.08,+137.96%,+56.39%,+78.47%,+10.59%,+0.85%,+4.13%,+7.15%,21,Strong
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microcredit,"1,630.00",110.66,14.73,4.56,6.62,30.93,4.06,+451.76%,+42.03%,+313.82%,+32.73%,+1.88%,+1.44%,+1.49%,21,Strong
NLO,Nepal Lube Oil,Manufacturing And Processing,271.30,78.19,3.47,0.48,1.38,13.98,5.88,+143.06%,+75.31%,+62.04%,+10.21%,0.00%,+14.93%,+25.46%,21,Strong
NBL,Nepal Bank,Commercial Banks,292.00,30.63,9.53,1.01,10.46,10.65,0.93,+61.13%,+35.54%,+20.84%,+5.46%,+6.18%,+10.82%,+17.27%,20,Strong
GILB,Global IME Laghubitta Bittiya Sanstha,Microcredit,"1,139.50",61.87,18.42,4.7,6.57,25.5,3.37,+82.66%,+34.93%,+36.99%,+12.98%,+4.95%,+2.11%,-5.16%,20,Strong
NTC,Nepal Doorsanchar Company,Telecom,906.00,46.47,19.5,1.64,0.36,8.44,6.18,+50.63%,+50.07%,+0.42%,+2.11%,+2.95%,+7.35%,+10.25%,20,Strong
GBBL,Garima Bikas Bank,Development Bank,454.00,28.04,16.19,2.56,9.59,15.82,1.49,+61.10%,+34.12%,+20.82%,+5.78%,+8.07%,+11.82%,+13.93%,19,Good
GUFL,Gurkhas Finance Ltd.,Finance,496.40,25.28,19.64,2.96,6.68,15.1,1.97,+69.46%,+34.80%,+27.09%,+6.05%,-3.61%,-9.91%,-2.67%,19,Good
LBBL,Lumbini Bikas Bank Ltd.,Development Bank,484.40,23.48,20.63,2.27,7.77,10.99,1.25,+51.51%,+32.91%,+13.63%,+4.05%,+2.17%,+0.50%,-5.21%,18,Good
