Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
KBL,Kumari Bank,Commercial Banks,232.00,20.74,11.18,1.53,10.43,13.72,1.2,+157.45%,+106.86%,+28.73%,+4.10%,+27.47%,+30.04%,+12.62%,21,Strong
NTC,Nepal Doorsanchar Company,Telecom,889.00,46.27,19.21,1.65,0.39,8.58,6.17,+214.26%,+103.01%,+57.13%,+6.67%,+5.18%,+4.38%,+1.49%,21,Strong
MBL,Machhapuchhre Bank,Commercial Banks,266.60,16.73,15.93,1.65,11.19,10.35,0.85,+141.93%,+96.61%,+20.97%,+4.54%,+18.54%,+23.31%,+23.57%,20,Strong
SLBBL,Swarojgar Laghu Bitta Bikas Bank,Microcredit,859.00,32.53,26.41,4.95,7.04,18.73,2.33,+151.73%,+98.57%,+25.86%,+4.63%,+5.54%,+6.30%,+16.21%,20,Strong
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,998.50,32.57,30.66,5.87,9.43,19.16,1.84,+628.49%,+97.82%,+264.24%,+7.97%,+0.45%,+9.60%,-9.23%,19,Good
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,"1,098.00",61.89,17.74,7.35,8.73,41.43,4.26,+853.71%,+145.05%,+376.86%,+18.42%,+16.07%,+16.19%,+2.62%,19,Good
DDBL,Deprosc Laghubitta,Microcredit,885.00,47.41,18.67,4.0,7.32,21.44,2.58,+119.03%,+95.97%,+9.51%,-0.04%,+6.63%,+12.27%,+24.57%,19,Good
JBLB,Jeevan Bikas Laghubitta Bittya Sanstha Ltd,Microcredit,"1,371.50",50.65,27.08,4.95,6.36,18.28,2.48,+166.72%,+89.61%,+33.36%,-5.67%,+5.50%,+9.77%,+15.45%,19,Good
KMCDB,Kalika Laghubitta Bittiya Sanstha,Microcredit,965.00,26.09,36.99,5.86,6.28,15.84,2.18,+187.61%,+96.09%,+30.73%,-14.00%,+0.72%,+2.62%,-0.84%,19,Good
NESDO,NESDO Sambridha Laghubitta Bittiye Sanstha Limited,Microcredit,"1,600.00",63.99,25.0,5.93,4.2,23.71,4.56,+185.68%,+100.69%,+42.84%,-0.92%,+6.67%,+6.67%,-13.23%,19,Good
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,190.00",48.21,24.69,4.85,7.25,19.65,2.38,+154.15%,+101.55%,+11.22%,-4.11%,+5.97%,+5.62%,+7.54%,19,Good
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,500.00",77.9,83.44,15.16,4.66,18.17,3.21,+166.17%,+99.17%,+33.08%,+5.78%,+4.00%,+6.56%,+26.56%,18,Good
API,Api Power,Hydro Power,344.40,14.03,24.55,2.93,1.03,11.93,5.89,+62.21%,+78.15%,-18.89%,+2.48%,+18.35%,+25.67%,+31.66%,18,Good
BHCL,Bikash Hydropower Company Limited,Hydro Power,593.00,11.05,53.68,5.52,0.31,10.29,7.88,+182.83%,+131.62%,+41.42%,+3.44%,+6.33%,+24.61%,+84.56%,18,Good
BHL,Balephi Hydropower Limited,Hydro Power,257.70,12.48,20.65,3.19,1.94,15.44,5.26,+83.29%,+83.19%,-8.36%,+3.63%,+30.68%,+45.59%,-23.28%,18,Good
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,108.00",31.98,34.65,4.72,7.18,13.63,1.67,+234.60%,+103.14%,+67.30%,-13.65%,+6.74%,+1.85%,-9.92%,18,Good
GBLBS,Grameen Bikas Laghubitta,Microcredit,796.90,43.75,18.22,2.87,4.51,15.73,2.86,+80.21%,+99.76%,-11.94%,-0.85%,+5.97%,-6.47%,-2.58%,18,Good
GFCL,Goodwill Finance,Finance,682.00,23.61,28.88,2.66,5.66,9.2,1.38,+198.81%,+153.54%,+49.40%,+28.16%,+9.82%,+19.65%,-1.59%,18,Good
MANDU,Mandu Hydropower Limited,Hydro Power,831.90,26.85,30.98,5.44,1.6,17.57,6.76,+264.30%,+138.21%,+82.15%,+6.81%,+4.24%,+4.92%,-8.48%,18,Good
MHCL,Molung Hydropower Company Limited,Hydro Power,393.20,16.81,23.39,4.44,0.64,19.0,11.55,+65.15%,+68.70%,-17.43%,+3.89%,+8.02%,+1.34%,-29.13%,18,Good
MLBL,Mahalaxmi Bikas Bank Limited,Development Bank,405.10,14.24,28.45,2.45,7.89,8.61,0.97,+213.74%,+99.44%,+56.87%,+0.03%,+12.25%,+12.32%,+3.18%,18,Good
MNBBL,Muktinath Bikas Bank,Development Bank,400.10,16.8,23.82,2.64,9.93,11.1,1.02,+198.98%,+91.14%,+31.68%,-10.98%,+13.02%,+15.30%,+23.75%,18,Good
PCBL,Prime Commercial Bank,Commercial Banks,260.00,19.5,13.33,1.57,8.2,11.76,1.28,+62.38%,+90.26%,-24.83%,-7.54%,+12.65%,+11.26%,+11.30%,18,Good
SAHAS,Sahas Urja Limited,Hydro Power,625.00,39.57,15.8,3.66,1.41,23.18,9.6,+82.83%,+84.39%,-24.45%,-13.29%,+13.02%,+13.82%,+49.64%,18,Good
SANIMA,Sanima Bank,Commercial Banks,357.10,20.48,17.43,2.07,10.55,11.88,1.03,+205.79%,+95.43%,+52.89%,-0.19%,+8.21%,+15.57%,+20.94%,18,Good
SCB,Standard Chartered Bank,Commercial Banks,667.40,27.35,24.4,3.16,6.95,12.96,1.63,+98.41%,+88.48%,-0.80%,-5.27%,+4.77%,+6.44%,+5.62%,18,Good
SHEL,Singati Hydro Energy Limited,Hydro Power,338.70,13.58,24.94,2.94,0.94,11.78,6.06,+75.47%,+75.66%,-12.27%,+2.60%,+15.24%,+24.78%,+38.76%,18,Good
SHL,Soaltee Hotel,Hotels,516.00,6.8,75.85,17.95,0.3,23.65,18.22,+181.24%,+132.46%,+40.62%,+1.60%,+5.93%,+6.17%,+21.47%,18,Good
AKPL,Arun Kabeli Power Ltd.,Hydro Power,310.00,7.93,39.09,2.99,0.83,7.65,4.18,+166.33%,+97.39%,+33.17%,+2.45%,+20.72%,+28.63%,+34.61%,17,Good
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,160.00",31.29,37.07,7.34,8.25,19.79,2.14,+462.55%,+107.63%,+156.87%,-10.14%,+9.42%,+4.41%,+49.50%,17,Good
BPCL,Butwal Power,Hydro Power,752.00,13.22,56.87,3.53,0.1,6.21,5.62,+165.77%,+92.38%,+32.89%,-0.97%,+8.20%,+5.92%,+92.68%,17,Good
GBBL,Garima Bikas Bank,Development Bank,434.00,21.1,20.57,2.72,9.92,13.22,1.21,+153.47%,+87.15%,+19.56%,-4.08%,+10.63%,+15.21%,+16.84%,17,Good
GBIME,Global Ime Bank,Commercial Banks,249.00,17.06,14.59,1.42,10.2,9.73,0.87,+74.97%,+94.62%,-12.51%,-2.34%,+12.52%,+10.23%,+16.80%,17,Good
HDL,Himalayan Distillery,Manufacturing And Processing,"1,195.00",24.31,49.15,9.89,0.16,20.11,17.35,+396.76%,+193.19%,+106.98%,-12.66%,+5.29%,+4.28%,+17.89%,17,Good
HURJA,Himalaya Urja Bikas Company Limited,Hydro Power,305.00,10.56,28.88,3.18,0.9,11.02,5.8,+57.85%,+56.53%,-21.07%,+2.02%,+21.03%,+39.27%,+26.09%,17,Good
JBBL,Jyoti Bikas Bank,Development Bank,375.00,14.16,26.48,2.42,9.85,9.13,0.84,+342.56%,+92.42%,+121.28%,+4.09%,+15.31%,+18.63%,+6.53%,17,Good
KSBBL,Kamana Sewa Bikas Bank Limited,Development Bank,503.00,20.43,24.62,3.18,10.8,12.92,1.1,+99.69%,+91.44%,-0.16%,+3.78%,+11.98%,+17.55%,+27.11%,17,Good
MAKAR,Makar Jitumaya Suri Hydropower Limited,Hydro Power,548.10,21.06,26.03,4.77,2.18,18.34,5.76,+184.88%,+97.12%,+42.44%,+6.33%,+1.03%,-1.77%,-24.19%,17,Good
MLBBL,Mithila Laghubitta Bikas Bank,Microcredit,"1,357.00",47.22,28.74,6.07,5.91,21.11,3.05,+57.18%,+77.30%,-21.41%,+6.06%,+3.60%,+4.24%,-21.66%,17,Good
NABIL,Nabil Bank,Commercial Banks,535.20,29.69,18.02,2.5,9.14,13.84,1.37,+170.90%,+95.90%,+14.32%,-10.90%,+8.12%,+10.34%,+12.17%,17,Good
NHDL,Nepal Hydro Developers Ltd.,Hydro Power,677.50,21.15,32.04,5.56,0.24,17.37,14.04,+106.47%,+100.59%,-5.29%,-4.32%,+6.69%,+1.24%,-11.92%,17,Good
NMB,NMB Bank,Commercial Banks,260.89,17.1,15.26,1.54,10.0,10.1,0.92,+79.98%,+90.43%,-14.29%,-5.54%,+11.50%,+9.49%,+10.84%,17,Good
PMHPL,Panchakanya Mai Hydropower,Hydro Power,398.00,15.26,26.07,4.68,1.73,17.96,6.57,+128.87%,+93.63%,+14.43%,+5.39%,+19.16%,+26.31%,+33.96%,17,Good
PPCL,Panchthar Power Company Ltd.,Hydro Power,434.00,18.8,23.08,4.37,2.05,18.95,6.21,+75.59%,+64.89%,-12.21%,+3.31%,+18.55%,+28.78%,+33.13%,17,Good
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,Microcredit,687.00,14.83,46.33,5.49,3.95,11.85,2.4,+263.24%,+104.33%,+81.62%,-2.26%,+8.29%,+8.36%,-2.41%,17,Good
RURU,Ru Ru Jalbidhyut Pariyojana Limited,Hydro Power,680.20,18.59,36.59,4.68,0.21,12.78,10.59,+60.10%,+70.93%,-19.95%,+1.50%,+4.81%,+3.61%,+0.96%,17,Good
SADBL,Shangrila Development Bank,Development Bank,452.00,16.21,27.89,2.95,10.08,10.58,0.95,+243.04%,+92.05%,+63.35%,-2.90%,+11.19%,+16.62%,+16.74%,17,Good
SBL,Siddhartha Bank,Commercial Banks,407.20,17.93,22.7,1.93,10.18,8.49,0.76,+309.35%,+95.53%,+94.93%,-3.13%,+9.05%,+13.11%,+51.22%,17,Good
SRLI,Sanima Reliance Life Insurance Limited,Life Insurance,416.90,11.01,37.85,3.96,4.26,10.17,1.93,+84.61%,+98.27%,-7.70%,-2.09%,+8.57%,+7.96%,+1.79%,17,Good
SWBBL,Swabalamban Bikas Bank,Microcredit,768.00,19.73,38.93,3.51,5.6,9.03,1.37,+198.25%,+85.25%,+41.17%,-4.10%,+5.90%,+3.94%,-5.57%,17,Good
