Symbol,Date,Close_at_Signal,Latest_Close,P/L_%,Status,Standard_Signals,Strict_Signals,Latest_RSI,NV_Range,Recommended_NV_Threshold,Recommended_NV_Improvement,Recommended_Drawdown,Recommended_EMA50_Min,Recommended_EMA50_Max,Recommended_Volume_Ratio
CORBL,2019-02-21,89.0,1643.0,1746.07,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-02-25,90.0,1643.0,1725.56,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-03-03,90.0,1643.0,1725.56,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-05-12,91.0,1643.0,1705.49,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-05-05,91.0,1643.0,1705.49,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-05-06,91.0,1643.0,1705.49,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-03-07,92.0,1643.0,1685.87,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-02-12,94.0,1643.0,1647.87,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-02-19,94.0,1643.0,1647.87,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-02-03,95.0,1643.0,1629.47,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-02-06,95.0,1643.0,1629.47,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2014-01-09,97.0,1643.0,1593.81,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-01-09,98.0,1643.0,1576.53,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2014-01-12,98.0,1643.0,1576.53,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2018-09-26,99.0,1643.0,1559.6,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
KRBL,2012-06-18,49.0,810.0,1553.06,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
CORBL,2014-01-19,100.0,1643.0,1543.0,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
KRBL,2013-06-27,50.0,810.0,1520.0,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2012-06-19,50.0,810.0,1520.0,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
CORBL,2018-07-05,102.0,1643.0,1510.78,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2018-06-26,102.0,1643.0,1510.78,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2018-07-03,102.0,1643.0,1510.78,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
KRBL,2012-07-01,51.0,810.0,1488.24,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2013-07-01,51.0,810.0,1488.24,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2013-06-24,51.0,810.0,1488.24,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2012-06-25,51.0,810.0,1488.24,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2012-07-03,51.0,810.0,1488.24,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
CORBL,2019-12-23,104.0,1643.0,1479.81,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2014-04-15,105.0,1643.0,1464.76,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2014-04-10,105.0,1643.0,1464.76,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
KRBL,2012-06-27,52.0,810.0,1457.69,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
CORBL,2014-03-31,106.0,1643.0,1450.0,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2014-03-24,106.0,1643.0,1450.0,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2014-04-06,106.0,1643.0,1450.0,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-09-29,106.0,1643.0,1450.0,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-12-26,107.0,1643.0,1435.51,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
KRBL,2013-07-07,53.0,810.0,1428.3,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
CORBL,2019-09-18,109.0,1643.0,1407.34,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-09-24,109.0,1643.0,1407.34,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
KRBL,2013-06-19,54.0,810.0,1400.0,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2013-07-09,54.0,810.0,1400.0,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
CORBL,2019-09-22,111.0,1643.0,1380.18,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2018-06-11,112.0,1643.0,1366.96,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2018-05-21,112.0,1643.0,1366.96,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2020-08-05,113.0,1643.0,1353.98,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2020-08-03,113.0,1643.0,1353.98,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2020-05-12,114.0,1643.0,1341.23,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2018-05-29,114.0,1643.0,1341.23,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2020-08-10,115.0,1643.0,1328.7,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2020-08-11,115.0,1643.0,1328.7,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2018-05-30,115.0,1643.0,1328.7,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
KRBL,2012-06-13,57.0,810.0,1321.05,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2012-04-08,57.0,810.0,1321.05,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
CORBL,2018-04-10,117.0,1643.0,1304.27,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
KRBL,2012-04-09,58.0,810.0,1296.55,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2012-04-03,58.0,810.0,1296.55,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
CORBL,2018-05-10,118.0,1643.0,1292.37,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2019-08-19,118.0,1643.0,1292.37,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2020-07-07,118.0,1643.0,1292.37,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2018-05-24,118.0,1643.0,1292.37,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2018-04-11,119.0,1643.0,1280.67,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2020-03-17,119.0,1643.0,1280.67,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
KRBL,2012-04-01,59.0,810.0,1272.88,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
CORBL,2020-03-16,120.0,1643.0,1269.17,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
KRBL,2012-03-26,60.0,810.0,1250.0,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2012-03-19,60.0,810.0,1250.0,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2013-06-13,61.0,810.0,1227.87,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
CORBL,2020-07-08,124.0,1643.0,1225.0,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
KRBL,2012-02-15,62.0,810.0,1206.45,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
CORBL,2018-04-25,127.0,1643.0,1193.7,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
KRBL,2011-12-27,63.0,810.0,1185.71,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2012-02-21,63.0,810.0,1185.71,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
CORBL,2014-03-12,128.0,1643.0,1183.59,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2020-02-10,128.0,1643.0,1183.59,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2014-03-13,128.0,1643.0,1183.59,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2018-04-24,129.0,1643.0,1173.64,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
KRBL,2012-03-05,64.0,810.0,1165.62,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2012-02-28,64.0,810.0,1165.62,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2011-12-13,64.0,810.0,1165.62,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2012-03-11,65.0,810.0,1146.15,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2011-12-28,65.0,810.0,1146.15,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2011-12-07,65.0,810.0,1146.15,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2012-02-29,65.0,810.0,1146.15,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2011-12-08,66.0,810.0,1127.27,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2011-12-04,66.0,810.0,1127.27,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2011-12-18,66.0,810.0,1127.27,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2011-12-20,67.0,810.0,1108.96,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
RHPC,2019-11-26,70.0,840.0,1100.0,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
CORBL,2014-10-14,137.0,1643.0,1099.27,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
CORBL,2018-04-04,137.0,1643.0,1099.27,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
RHPC,2019-12-17,71.0,840.0,1083.1,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
RHPC,2019-12-18,71.0,840.0,1083.1,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
CORBL,2018-04-02,139.0,1643.0,1082.01,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
RHPC,2019-11-21,72.0,840.0,1066.67,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
KRBL,2013-05-05,70.0,810.0,1057.14,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
RHPC,2019-11-18,73.0,840.0,1050.68,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
KRBL,2011-08-30,71.0,810.0,1040.85,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2011-11-23,71.0,810.0,1040.85,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2011-09-07,71.0,810.0,1040.85,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2011-09-12,71.0,810.0,1040.85,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
MPFL,2013-09-19,55.0,625.0,1036.36,STANDARD_ONLY,258,0,34.3,22.1 to 250.6,256.0,-5.0,-8.0,-42.0,19.0,8.26
KRBL,2011-11-27,72.0,810.0,1025.0,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2011-09-04,72.0,810.0,1025.0,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
CORBL,2018-03-29,147.0,1643.0,1017.69,STANDARD_ONLY,217,0,45.7,71.5 to 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
MPFL,2013-10-02,56.0,625.0,1016.07,STANDARD_ONLY,258,0,34.3,22.1 to 250.6,256.0,-5.0,-8.0,-42.0,19.0,8.26
KRBL,2011-09-14,73.0,810.0,1009.59,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2012-10-11,73.0,810.0,1009.59,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2012-10-17,73.0,810.0,1009.59,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2012-10-30,73.0,810.0,1009.59,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2012-10-31,74.0,810.0,994.59,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2011-09-05,74.0,810.0,994.59,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
RHPC,2020-06-29,77.0,840.0,990.91,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
RHPC,2019-10-16,77.0,840.0,990.91,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
RHPC,2020-05-12,77.0,840.0,990.91,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
RHPC,2019-10-15,77.0,840.0,990.91,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
RHPC,2019-11-06,77.0,840.0,990.91,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
GRDBL,2019-11-26,99.0,1068.0,978.79,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
MPFL,2013-07-09,58.0,625.0,977.59,STANDARD_ONLY,258,0,34.3,22.1 to 250.6,256.0,-5.0,-8.0,-42.0,19.0,8.26
RHPC,2020-03-15,78.0,840.0,976.92,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
GRDBL,2019-12-01,100.0,1068.0,968.0,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
GRDBL,2019-11-25,100.0,1068.0,968.0,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
RHPC,2019-11-03,79.0,840.0,963.29,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
RHPC,2019-10-21,79.0,840.0,963.29,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
RHPC,2020-03-18,79.0,840.0,963.29,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
MPFL,2013-07-07,59.0,625.0,959.32,STANDARD_ONLY,258,0,34.3,22.1 to 250.6,256.0,-5.0,-8.0,-42.0,19.0,8.26
MPFL,2013-08-12,59.0,625.0,959.32,STANDARD_ONLY,258,0,34.3,22.1 to 250.6,256.0,-5.0,-8.0,-42.0,19.0,8.26
MPFL,2013-07-10,59.0,625.0,959.32,STANDARD_ONLY,258,0,34.3,22.1 to 250.6,256.0,-5.0,-8.0,-42.0,19.0,8.26
KRBL,2011-09-15,77.0,810.0,951.95,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
KRBL,2011-08-28,77.0,810.0,951.95,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
GRDBL,2019-02-18,102.0,1068.0,947.06,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
GRDBL,2019-02-05,102.0,1068.0,947.06,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
