Symbol,Signal_Date,Close_at_Signal,Latest_Close,P/L_%,Status,Standard_Signals,Strict_Signals,Latest_RSI,NV_Range,Recommended_NV_Threshold,Recommended_NV_Improvement,Recommended_Drawdown,Recommended_EMA50_Min,Recommended_EMA50_Max,Recommended_Volume_Ratio
ADBL,2026-02-11,295.0,295.0,0.0,STANDARD_ONLY,520,0,29.2,58.2 – 202.6,208.0,-5.0,-8.0,-34.0,20.0,3.07
PCBL,2026-02-11,234.0,234.0,0.0,STANDARD_ONLY,507,0,21.1,41.4 – 226.7,232.0,-5.0,-8.0,-33.0,21.0,6.65
GUFL,2026-02-11,553.0,553.0,0.0,STANDARD_ONLY,269,0,27.1,69.4 – 257.6,263.0,-5.0,-8.0,-34.0,29.0,7.1
SHINE,2026-02-11,398.7,398.7,0.0,STANDARD_ONLY,322,0,38.4,57.9 – 420.4,425.0,-5.0,-9.0,-36.0,15.0,6.17
GFCL,2026-02-11,635.0,635.0,0.0,STANDARD_ONLY,323,0,24.3,29.2 – 353.2,358.0,-5.0,-8.0,-37.0,30.0,7.38
EDBL,2026-02-11,579.0,579.0,0.0,STANDARD_ONLY,400,0,8.9,47.9 – 283.6,289.0,-5.0,-8.0,-75.0,20.0,8.15
ICFC,2026-02-11,649.0,649.0,0.0,STANDARD_ONLY,398,0,25.0,65.8 – 231.5,237.0,-5.0,-9.0,-31.0,21.0,5.94
KPCL,2026-02-11,525.0,525.0,0.0,STANDARD_ONLY,183,0,33.0,54.8 – 316.6,322.0,-5.0,-8.0,-29.0,21.0,6.98
CHDC,2026-02-11,2310.0,2310.0,0.0,STANDARD_ONLY,154,0,36.8,60.7 – 312.6,318.0,-5.0,-8.0,-26.0,26.0,3.88
GMFIL,2026-02-11,461.9,461.9,0.0,STANDARD_ONLY,303,0,34.9,68.0 – 570.8,576.0,-5.0,-9.0,-30.0,19.0,8.47
LBBL,2026-02-11,471.0,471.0,0.0,STANDARD_ONLY,247,0,36.9,78.2 – 271.6,277.0,-5.0,-9.0,-33.0,20.0,3.41
KSBBL,2026-02-11,451.0,451.0,0.0,STANDARD_ONLY,264,0,32.0,72.1 – 193.1,198.0,-5.0,-8.0,-29.0,18.0,4.42
SPC,2026-02-11,508.0,508.0,0.0,STANDARD_ONLY,146,0,27.0,87.2 – 255.0,260.0,-5.0,-17.0,-27.0,11.0,7.86
BPCL,2026-02-11,721.9,721.9,0.0,STANDARD_ONLY,514,0,24.0,30.4 – 390.9,396.0,-5.0,-8.0,-46.0,24.0,8.59
BFC,2026-02-11,467.9,467.9,0.0,STANDARD_ONLY,236,0,32.5,38.4 – 223.0,228.0,-5.0,-9.0,-55.0,17.0,5.66
MLBL,2026-02-11,368.8,368.8,0.0,STANDARD_ONLY,272,0,37.3,28.9 – 233.9,239.0,-5.0,-9.0,-31.0,19.0,5.2
MNBBL,2026-02-11,361.3,361.3,0.0,STANDARD_ONLY,445,0,24.4,12.8 – 1190.9,1196.0,-5.0,-8.0,-38.0,16.0,3.37
NICA,2026-02-11,320.9,320.9,0.0,STANDARD_ONLY,458,0,33.0,58.7 – 278.8,284.0,-5.0,-8.0,-32.0,14.0,6.06
NMB,2026-02-10,234.0,233.3,-0.3,STANDARD_ONLY,481,0,33.5,28.0 – 261.0,266.0,-5.0,-9.0,-34.0,23.0,3.93
MEN,2026-02-10,582.0,577.6,-0.76,STANDARD_ONLY,169,0,32.6,8.3 – 242.7,248.0,-5.0,-8.0,-42.0,12.0,4.19
JFL,2026-02-10,428.0,428.4,0.09,STANDARD_ONLY,361,0,29.1,17.5 – 163.7,169.0,-5.0,-10.0,-47.0,15.0,5.79
JBBL,2026-02-10,330.0,330.0,0.0,STANDARD_ONLY,413,0,18.7,48.5 – 221.4,226.0,-5.0,-9.0,-27.0,33.0,4.81
MFIL,2026-02-10,780.0,791.0,1.41,STANDARD_ONLY,278,0,37.7,0.6 – 214.9,220.0,-5.0,-8.0,-61.0,29.0,8.05
SADBL,2026-02-10,405.1,413.0,1.95,STANDARD_ONLY,348,0,45.4,37.2 – 197.9,203.0,-5.0,-8.0,-43.0,21.0,5.29
SANIMA,2026-02-10,324.2,326.0,0.56,STANDARD_ONLY,431,0,29.3,56.0 – 210.4,215.0,-5.0,-8.0,-26.0,18.0,3.47
HBL,2026-02-10,188.5,189.9,0.74,STANDARD_ONLY,460,0,40.7,32.6 – 241.6,247.0,-5.0,-9.0,-41.0,20.0,6.12
NHDL,2026-02-10,655.0,645.3,-1.48,STANDARD_ONLY,250,0,19.7,65.4 – 328.6,334.0,-5.0,-9.0,-32.0,19.0,6.05
SBL,2026-02-10,374.0,373.0,-0.27,STANDARD_ONLY,547,0,31.3,48.9 – 236.9,242.0,-5.0,-8.0,-41.0,28.0,4.8
SBI,2026-02-10,400.0,396.0,-1.0,STANDARD_ONLY,526,0,35.3,31.7 – 645.3,650.0,-5.0,-8.0,-32.0,16.0,6.41
CGH,2026-02-10,844.0,838.0,-0.71,STANDARD_ONLY,213,0,37.1,42.7 – 232.8,238.0,-5.0,-12.0,-22.0,31.0,2.33
GBIME,2026-02-10,224.5,226.0,0.67,STANDARD_ONLY,392,0,44.5,58.9 – 183.2,188.0,-5.0,-8.0,-30.0,17.0,4.91
ALICL,2026-02-10,468.0,461.0,-1.5,STANDARD_ONLY,522,0,26.6,6.5 – 470.7,476.0,-5.0,-8.0,-41.0,21.0,5.65
SHPC,2026-02-10,522.8,545.0,4.25,STANDARD_ONLY,421,0,44.3,26.7 – 714.4,719.0,-5.0,-8.0,-49.0,14.0,8.32
CZBIL,2026-02-10,191.8,191.0,-0.42,STANDARD_ONLY,644,0,36.2,6.1 – 320.6,326.0,-5.0,-8.0,-44.0,24.0,3.35
TRH,2026-02-10,742.0,751.0,1.21,STANDARD_ONLY,304,0,46.7,56.7 – 477.5,482.0,-5.0,-8.0,-37.0,16.0,18.48
GBBL,2026-02-09,395.1,396.9,0.46,STANDARD_ONLY,390,0,41.4,54.3 – 298.9,304.0,-5.0,-8.0,-27.0,19.0,4.25
SHL,2026-02-09,497.0,497.0,0.0,STANDARD_ONLY,357,0,45.2,53.0 – 380.9,386.0,-5.0,-9.0,-29.0,17.0,7.5
LICN,2026-02-09,840.0,832.8,-0.86,STANDARD_ONLY,470,0,30.0,36.5 – 243.3,248.0,-5.0,-8.0,-44.0,19.0,5.8
RURU,2026-01-28,676.0,665.0,-1.63,STANDARD_ONLY,151,0,42.2,47.8 – 323.4,328.0,-5.0,-11.0,-26.0,8.0,10.75
CHCL,2026-01-25,486.0,469.9,-3.31,STANDARD_ONLY,693,0,46.9,10.3 – 353.4,358.0,-5.0,-8.0,-35.0,17.0,5.41
SPDL,2026-01-21,392.0,400.0,2.04,STANDARD_ONLY,296,0,55.0,69.8 – 292.0,297.0,-5.0,-9.0,-32.0,14.0,5.57
NABIL,2026-01-14,487.5,496.0,1.74,STANDARD_ONLY,595,0,55.5,7.5 – 213.6,219.0,-5.0,-8.0,-32.0,12.0,8.61
AHPC,2026-01-13,257.0,298.0,15.95,STANDARD_ONLY,570,0,70.7,15.7 – 283.3,288.0,-5.0,-11.0,-36.0,18.0,5.92
UNHPL,2026-01-13,460.0,509.0,10.65,STANDARD_ONLY,191,0,63.1,75.4 – 174.9,180.0,-5.0,-8.0,-33.0,29.0,3.68
SFCL,2026-01-13,370.0,381.0,2.97,STANDARD_ONLY,238,0,40.2,7.8 – 305.6,311.0,-5.0,-10.0,-34.0,17.0,4.06
NLIC,2026-01-12,779.0,751.0,-3.59,STANDARD_ONLY,556,0,24.7,40.5 – 306.9,312.0,-5.0,-8.0,-50.0,14.0,7.02
SINDU,2026-01-12,722.9,757.0,4.72,STANDARD_ONLY,255,0,52.0,50.0 – 228.3,233.0,-5.0,-8.0,-48.0,22.0,4.91
PFL,2026-01-12,357.9,375.0,4.78,STANDARD_ONLY,339,0,41.4,54.7 – 165.8,171.0,-5.0,-8.0,-41.0,30.0,4.78
CORBL,2026-01-12,1563.0,1643.0,5.12,STANDARD_ONLY,217,0,45.7,71.5 – 610.8,616.0,-5.0,-9.0,-45.0,22.0,6.35
MHNL,2026-01-08,244.0,290.0,18.85,STANDARD_ONLY,213,0,60.1,72.2 – 468.9,474.0,-5.0,-9.0,-33.0,14.0,14.78
JOSHI,2026-01-08,282.7,309.0,9.3,STANDARD_ONLY,223,0,55.2,46.3 – 180.6,186.0,-5.0,-14.0,-33.0,17.0,6.91
