Symbol,Date,Open,High,Low,Close,Volume
ACLBSL,12/31/2023,558.6,581.4,558.6,580,"1,130.00"
ACLBSL,12/30/2023,558.6,581.4,558.6,580,"1,130.00"
ACLBSL,12/29/2023,558.6,581.4,558.6,580,"1,130.00"
ACLBSL,12/28/2023,558.6,581.4,558.6,580,"1,130.00"
ACLBSL,12/27/2023,580.1,582,566.3,570,"3,169.00"
ACLBSL,12/26/2023,589,600.5,580,588,"2,980.00"
ACLBSL,12/25/2023,589,600.5,580,588,"2,980.00"
ACLBSL,12/24/2023,589,600.5,580,588,"2,980.00"
ACLBSL,12/23/2023,615,615,582,598,"3,257.00"
ACLBSL,12/22/2023,615,615,582,598,"3,257.00"
ACLBSL,12/21/2023,615,615,582,598,"3,257.00"
ACLBSL,12/20/2023,621,621,596,617,"1,692.00"
ACLBSL,12/19/2023,601,640,596,616,"4,653.00"
ACLBSL,12/18/2023,570,604,551.3,603.9,"5,279.00"
ACLBSL,12/17/2023,534,560,534,559,"1,021.00"
ACLBSL,12/16/2023,555,563.8,540.1,544,"1,000.00"
ACLBSL,12/15/2023,555,563.8,540.1,544,"1,000.00"
ACLBSL,12/14/2023,555,563.8,540.1,544,"1,000.00"
ACLBSL,12/13/2023,575,575.9,544,545,"2,028.00"
ACLBSL,12/12/2023,537,565,529,565,"1,677.00"
ACLBSL,12/11/2023,520.2,540.6,519.9,538.7,"4,183.00"
ACLBSL,12/9/2023,500.1,510,500.1,510,525
ACLBSL,12/8/2023,500.1,510,500.1,510,525
ACLBSL,12/7/2023,500.1,510,500.1,510,525
ACLBSL,12/6/2023,501,514,501,506,461
ACLBSL,12/5/2023,516,526.3,508.1,510,296
ACLBSL,12/4/2023,508,518,508,516,378
ACLBSL,12/3/2023,520,521,508,508,721
ACLBSL,12/2/2023,515.1,521,515,521,564
ACLBSL,12/1/2023,515.1,521,515,521,564
ACLBSL,11/30/2023,515.1,521,515,521,564
ACLBSL,11/29/2023,520,525,520,521,147
ACLBSL,11/28/2023,533,542,515,520.3,940
ACLBSL,11/27/2023,544,544,524,543,218
ACLBSL,11/26/2023,528.5,545,528.5,535,537
ACLBSL,11/25/2023,540,540,520,539,291
ACLBSL,11/24/2023,540,540,520,539,291
ACLBSL,11/23/2023,540,540,520,539,291
ACLBSL,11/22/2023,515,541,515,541,632
ACLBSL,11/21/2023,515,520,505,520,689
ACLBSL,11/20/2023,520,525,519.4,525,292
ACLBSL,11/19/2023,510.5,530.4,510.5,530,138
ACLBSL,11/18/2023,510.5,530.4,510.5,530,138
ACLBSL,11/17/2023,510.5,530.4,510.5,530,138
ACLBSL,11/16/2023,510.5,530.4,510.5,530,138
ACLBSL,11/15/2023,510.5,530.4,510.5,530,138
ACLBSL,11/14/2023,510.5,530.4,510.5,530,138
ACLBSL,11/13/2023,510.5,530.4,510.5,530,138
ACLBSL,11/12/2023,510.5,530.4,510.5,530,138
ACLBSL,11/11/2023,510.5,530.4,510.5,530,138
ACLBSL,11/10/2023,510.5,530.4,510.5,530,138
ACLBSL,11/9/2023,510.5,530.4,510.5,530,138
ACLBSL,11/8/2023,520,520,513,520,392
ACLBSL,11/7/2023,522,525,520,520,209
ACLBSL,11/6/2023,510,520,502.2,520,426
ACLBSL,11/5/2023,513.6,516,511,511,722
ACLBSL,11/4/2023,525,525,520,524,419
ACLBSL,11/3/2023,525,525,520,524,419
ACLBSL,11/2/2023,525,525,520,524,419
ACLBSL,11/1/2023,535,535,520,525,"1,375.00"
ACLBSL,10/31/2023,534.2,534.2,523.5,530,648
ACLBSL,10/30/2023,542,545,532,545,542
ACLBSL,10/29/2023,555,555,544,553,125
ACLBSL,10/28/2023,553,555,545,555,476
ACLBSL,10/27/2023,553,555,545,555,476
