Symbol,Last_Updated,Total_Signals,Successful_Signals,Accuracy,Avg_Profit,Last_Signal_Date,Last_Signal_Price,Last_Signal_Confidence
ALICL,2026-02-11,0,0,0.5,0.0,2026-02-11,461.0,0.83
ULI,2026-02-11,0,0,0.5,0.0,2026-02-11,358.0,0.83
NLIC,2026-02-11,0,0,0.5,0.0,2026-02-11,751.0,0.78
RLI,2026-02-11,0,0,0.5,0.0,2026-02-11,387.0,0.78
PLIC,2026-02-11,0,0,0.5,0.0,2026-02-11,340.0,0.75
JBBL,2026-02-11,0,0,0.5,0.0,2026-02-11,330.0,0.7300000000000001
JFL,2026-02-11,0,0,0.5,0.0,2026-02-11,428.4,0.7300000000000001
LICN,2026-02-11,0,0,0.5,0.0,2026-02-11,832.8,0.7300000000000001
PCBL,2026-02-11,0,0,0.5,0.0,2026-02-11,234.0,0.7300000000000001
SBI,2026-02-11,0,0,0.5,0.0,2026-02-11,396.0,0.7300000000000001
NHDL,2026-02-11,0,0,0.5,0.0,2026-02-11,645.3,0.73
GLICL,2026-02-11,0,0,0.5,0.0,2026-02-11,344.0,0.7000000000000001
CZBIL,2026-02-11,0,0,0.5,0.0,2026-02-11,191.0,0.6800000000000002
ADBL,2026-02-11,0,0,0.5,0.0,2026-02-11,295.0,0.68
SPC,2026-02-11,0,0,0.5,0.0,2026-02-11,508.0,0.68
SLICL,2026-02-11,0,0,0.5,0.0,2026-02-11,387.0,0.65
