Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
ACLBSL,2026-03-23,1068.0,1081.0,1050.0,1074.0,0.56,7988.0,1240.0,900.0
ADBL,2026-03-23,335.0,335.0,323.0,329.0,-1.79,75576.0,344.9,272.3
AHL,2026-03-23,530.0,530.0,520.0,521.1,-1.68,13909.0,753.0,462.6
AHPC,2026-03-23,315.1,317.0,307.0,310.4,-1.49,327077.0,334.0,242.5
AKJCL,2026-03-23,417.0,421.0,405.2,419.0,0.48,980148.0,431.8,172.9
AKPL,2026-03-23,311.1,311.1,299.0,306.0,-1.64,609068.0,317.0,216.1
ALBSL,2026-03-23,1167.0,1309.0,1167.0,1295.0,10.97,62162.0,1309.0,771.0
ALICL,2026-03-23,505.0,505.0,492.0,496.0,-1.78,103823.0,779.0,430.0
ANLB,2026-03-23,6448.4,6597.0,6438.6,6564.0,1.79,552.0,6800.0,4920.0
API,2026-03-23,343.0,349.5,337.7,348.0,1.46,799386.0,355.0,258.8
AVYAN,2026-03-23,1231.9,1304.9,1161.0,1280.0,3.9,53054.0,1304.9,906.0
BANDIPUR,2026-03-23,950.0,970.0,940.0,944.9,-0.54,85731.0,1233.0,285.0
BARUN,2026-03-23,392.0,392.0,382.1,389.8,-0.56,167200.0,589.0,292.1
BBC,2026-03-23,4939.9,4939.9,4800.0,4821.0,-2.41,593.0,6661.6,4480.0
BEDC,2026-03-23,543.0,543.0,529.0,534.0,-1.66,7114.0,872.0,500.0
BFC,2026-03-23,520.0,520.0,507.0,514.9,-0.98,44766.0,594.9,411.5
BGWT,2026-03-23,767.1,777.0,765.0,775.0,1.03,9797.0,1110.0,730.7
BHCL,2026-03-23,578.1,591.0,578.1,590.0,2.06,46679.0,699.0,292.1
BHDC,2026-03-23,507.0,507.0,498.0,504.0,-0.59,43718.0,706.0,426.0
BHL,2026-03-23,259.0,259.0,249.0,255.6,-1.31,697495.0,344.0,164.0
BHPL,2026-03-23,616.0,616.0,591.0,599.5,-2.68,41796.0,1308.4,503.1
BJHL,2026-03-23,294.1,326.8,294.1,326.8,11.12,160.0,326.8,270.1
BNHC,2026-03-23,372.2,377.4,366.0,375.0,0.75,31266.0,613.8,313.1
BNL,2026-03-23,15300.0,15300.0,15300.0,15300.0,0.0,10.0,20338.4,14635.8
BNT,2026-03-23,12000.0,12150.0,11805.1,12150.0,1.25,137.0,13550.0,10660.0
BOKD86,2026-03-23,1090.8,1090.8,1090.8,1090.8,0.0,25.0,1139.3,1022.0
BPCL,2026-03-23,764.8,764.8,735.1,746.5,-2.39,81870.0,1065.0,380.7
BUNGAL,2026-03-23,649.0,657.8,645.0,652.0,0.46,29163.0,822.0,302.4
C30MF,2026-03-23,10.21,10.35,10.15,10.2,-0.1,502400.0,10.71,8.7
CBBL,2026-03-23,980.0,980.0,959.0,969.0,-1.12,60242.0,1144.8,821.5
CBLD88,2026-03-23,1240.0,1240.0,1220.0,1220.0,-1.61,63.0,1265.0,1108.0
