Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
ACLBSL,2026-02-12,968.2,980.0,951.0,970.0,0.19,1332.0,1284.9,900.0
ADBL,2026-02-12,291.2,299.1,291.2,297.0,1.99,27084.0,344.9,272.3
ADBLD83,2026-02-12,1050.5,1050.5,1050.5,1050.5,0.0,25.0,1160.0,1046.0
AHL,2026-02-12,567.0,568.0,555.7,564.5,-0.44,9393.0,891.0,532.0
AHPC,2026-02-12,292.1,301.0,291.0,293.9,0.62,478502.0,334.0,242.5
AKJCL,2026-02-12,378.0,390.0,373.0,375.0,-0.79,1051684.0,392.0,172.9
AKPL,2026-02-12,277.6,287.5,277.0,277.0,-0.22,548623.0,306.5,216.1
ALBSL,2026-02-12,1105.0,1126.9,1100.1,1119.0,1.27,15536.0,1250.0,771.0
ALICL,2026-02-12,440.0,448.0,440.0,445.9,1.34,66042.0,831.0,430.0
ANLB,2026-02-12,6010.7,6375.0,6010.1,6200.0,3.15,1318.0,6800.0,4673.0
API,2026-02-12,309.0,309.0,302.2,303.0,-1.94,409062.0,335.0,258.8
AVYAN,2026-02-12,936.0,978.0,936.0,975.0,4.17,3212.0,1291.0,906.0
BANDIPUR,2026-02-12,968.0,984.7,930.0,935.0,-3.41,135427.0,1233.0,285.0
BARUN,2026-02-12,373.9,377.1,364.0,365.2,-2.33,193036.0,589.0,292.1
BBC,2026-02-12,4820.0,4840.0,4768.0,4817.0,-0.06,460.0,6661.6,4480.0
BEDC,2026-02-12,525.0,530.0,519.0,519.5,-1.05,20791.0,960.0,501.0
BFC,2026-02-12,468.0,477.2,463.0,470.0,0.43,16470.0,704.0,411.5
BGWT,2026-02-12,772.0,773.0,762.0,764.0,-1.04,3002.0,1241.0,750.0
BHCL,2026-02-12,587.0,602.0,585.0,588.0,0.17,67877.0,699.0,292.1
BHDC,2026-02-12,490.0,499.0,480.6,493.0,0.61,71657.0,729.0,426.0
BHL,2026-02-12,209.9,210.5,207.0,207.4,-1.19,415020.0,379.4,164.0
BHPL,2026-02-12,564.0,575.2,553.0,558.0,-1.06,54556.0,1308.4,503.1
BNHC,2026-02-12,546.0,547.0,526.0,526.2,-3.63,183891.0,613.8,393.0
BNL,2026-02-12,15010.0,15400.0,14896.0,15300.0,1.93,227.0,22500.0,14896.0
BNT,2026-02-12,11501.0,11700.0,11316.0,11700.0,1.73,96.0,14680.0,10660.0
BOKD86,2026-02-12,1086.0,1086.0,1086.0,1086.0,0.0,25.0,1139.3,1005.5
BOKD86KA,2026-02-12,1167.0,1188.0,1167.0,1188.0,1.8,135.0,1196.4,1108.1
BPCL,2026-02-12,736.3,736.3,708.6,713.0,-3.16,97346.0,1065.0,380.7
BUNGAL,2026-02-12,651.0,675.0,642.0,647.0,-0.61,25892.0,822.0,302.4
C30MF,2026-02-12,9.65,10.0,9.65,9.71,0.62,800.0,10.71,8.65
CBBL,2026-02-12,935.0,936.0,919.0,919.2,-1.69,20721.0,1144.8,821.5
CCBD88,2026-02-12,1188.1,1213.0,1188.1,1213.0,2.1,38.0,1281.0,1115.0
CFCL,2026-02-12,518.0,559.0,518.0,525.0,1.35,20838.0,699.9,445.1
CGH,2026-02-12,836.0,838.0,820.0,825.0,-1.32,92118.0,1150.0,800.2
CHCL,2026-02-12,474.0,480.0,468.2,477.0,0.63,62819.0,599.6,456.0
CHDC,2026-02-12,2310.0,2450.0,2310.0,2350.0,1.73,27477.0,2997.9,1990.0
CHL,2026-02-12,300.0,306.0,295.1,297.0,-1.0,170303.0,599.7,223.4
CIT,2026-02-12,1755.0,1760.0,1755.0,1756.0,0.06,11388.0,2200.0,1730.8
CITY,2026-02-12,481.0,485.0,472.0,472.0,-1.87,13326.0,998.4,461.0
CIZBD86,2026-02-12,1161.0,1161.0,1161.0,1161.0,0.0,25.0,1320.9,1096.4
CIZBD90,2026-02-12,1216.0,1239.8,1216.0,1264.0,3.95,54.0,1303.0,1114.4
CKHL,2026-02-12,688.0,733.0,686.0,699.0,1.6,42672.0,861.7,550.0
CLI,2026-02-12,462.6,467.0,459.2,464.0,0.3,27426.0,774.9,411.0
CMF2,2026-02-12,9.83,9.83,9.83,9.83,0.0,2500.0,10.86,8.64
CORBL,2026-02-12,1643.0,1675.8,1612.0,1660.0,1.03,5627.0,2800.0,1431.0
CREST,2026-02-12,1391.0,1447.0,1316.0,1447.0,4.03,29377.0,2458.2,302.5
CYCL,2026-02-12,1530.0,1560.0,1516.1,1538.0,0.52,2093.0,2040.0,1462.0
CZBIL,2026-02-12,193.0,193.0,189.0,191.0,-1.04,28582.0,240.1,183.0
DDBL,2026-02-12,825.2,845.0,825.0,836.9,1.42,14302.0,1010.0,759.0
DHEL,2026-02-12,727.3,739.5,720.0,721.0,-0.87,47798.0,918.9,402.2
DHPL,2026-02-12,301.5,318.8,300.6,312.0,3.48,24933.0,427.2,265.0
DLBS,2026-02-12,1310.0,1325.0,1310.0,1315.0,0.38,565.0,1966.0,1240.0
DOLTI,2026-02-12,521.8,525.0,520.0,520.0,-0.34,7237.0,795.0,470.6
DORDI,2026-02-12,289.0,300.0,285.0,289.5,0.17,445371.0,655.0,213.1
EBL,2026-02-12,670.0,670.0,664.0,666.4,-0.54,24688.0,780.6,594.0
EBLD91,2026-02-12,1090.1,1105.0,1090.1,1105.0,1.37,138.0,1142.4,994.4
EDBL,2026-02-12,588.0,598.0,580.0,586.1,-0.32,8725.0,838.2,545.0
EHPL,2026-02-12,425.0,440.0,419.0,430.1,1.2,77369.0,937.0,385.0
ENL,2026-02-12,946.4,946.4,915.0,932.7,-1.45,1244.0,1452.0,866.0
FMDBL,2026-02-12,780.0,803.9,775.0,789.0,1.15,33955.0,1038.8,718.0
FOWAD,2026-02-12,1050.0,1062.0,1048.2,1061.0,1.05,3942.0,1324.4,1012.4
GBBD85,2026-02-12,1071.1,1071.1,1071.1,1071.1,0.0,25.0,1135.0,1020.0
GBBL,2026-02-12,397.1,401.0,396.0,398.7,0.4,30100.0,498.0,367.4
GBIME,2026-02-12,226.0,226.2,224.5,224.9,-0.49,92347.0,278.9,210.7
GBIMESY2,2026-02-12,9.35,9.53,9.21,9.53,1.93,1600.0,10.18,8.5
GBLBS,2026-02-12,763.0,768.0,756.3,760.0,-0.39,6892.0,987.0,698.0
GCIL,2026-02-12,414.0,420.0,414.0,416.2,0.53,20556.0,613.0,400.0
GFCL,2026-02-12,628.0,655.0,628.0,641.0,2.07,25505.0,811.0,528.3
GHL,2026-02-12,255.0,264.9,252.0,256.9,0.75,432655.0,318.0,197.1
GIBF1,2026-02-12,10.6,10.89,10.6,10.81,1.98,30200.0,11.68,9.3
GILB,2026-02-12,1117.0,1120.0,1107.1,1110.6,-0.57,1964.0,1441.6,1105.0
GLBSL,2026-02-12,1905.1,1938.0,1903.5,1929.0,1.25,1407.0,3486.0,1862.1
GLH,2026-02-12,280.1,297.0,280.0,284.0,1.39,404426.0,306.3,227.4
GMFBS,2026-02-12,1412.0,1424.0,1400.0,1410.0,-0.14,1790.0,1980.0,1395.0
GMFIL,2026-02-12,455.0,470.0,455.0,467.9,2.84,11941.0,592.5,393.1
GMLI,2026-02-12,1731.0,1749.0,1725.0,1745.0,0.81,1717.0,2778.0,449.4
GRDBL,2026-02-12,1068.0,1122.0,1051.0,1093.1,2.35,18870.0,1668.4,944.0
GSY,2026-02-12,9.36,9.85,9.36,9.65,3.1,16100.0,10.4,8.7
GUFL,2026-02-12,551.3,564.0,549.0,552.2,0.16,37578.0,685.4,460.6
GVL,2026-02-12,474.0,495.5,474.0,486.3,2.59,71630.0,662.0,424.0
GWFD83,2026-02-12,1119.0,1119.0,1119.0,1097.3,-1.94,1.0,1464.8,1090.0
H8020,2026-02-12,11.65,11.88,11.42,11.42,-1.97,15100.0,12.21,9.86
HATHY,2026-02-12,915.1,930.0,914.0,917.0,0.21,16056.0,1600.0,875.5
HBL,2026-02-12,188.0,191.0,188.0,190.0,1.06,68377.0,261.0,184.0
HBLD86,2026-02-12,1152.5,1152.5,1152.5,1152.5,0.0,25.0,1201.0,1095.1
HDHPC,2026-02-12,213.9,216.0,208.0,209.9,-1.87,631121.0,225.9,162.0
HDL,2026-02-12,1140.0,1145.0,1130.0,1137.5,-0.22,52164.0,1556.1,1103.0
HEI,2026-02-12,506.9,507.8,500.0,502.0,-0.97,12055.0,685.0,458.0
HEIP,2026-02-12,309.0,312.5,305.0,305.0,-1.29,3290.0,447.0,298.3
HHL,2026-02-12,342.2,354.9,342.2,346.0,1.11,102170.0,625.0,310.7
HIDCL,2026-02-12,267.0,269.7,264.0,266.5,-0.19,218225.0,340.0,245.0
HIDCLP,2026-02-12,197.0,198.9,193.0,193.3,-1.88,302919.0,239.0,167.0
HIMSTAR,2026-02-12,950.0,978.0,935.2,956.0,0.63,14019.0,1264.0,252.2
HLBSL,2026-02-12,900.0,909.0,892.4,905.0,0.56,2234.0,1134.0,837.0
HLI,2026-02-12,362.1,366.0,360.0,362.1,0.0,66545.0,477.0,354.8
HLICF,2026-02-12,9.23,9.41,9.23,9.25,0.22,2380.0,10.55,8.74
HPPL,2026-02-12,470.4,476.0,465.0,468.0,-0.51,103001.0,711.0,411.1
HRL,2026-02-12,856.8,856.8,840.0,843.3,-1.58,122931.0,1156.0,762.1
HURJA,2026-02-12,276.5,295.0,276.0,283.9,2.68,1085097.0,295.0,204.6
ICFC,2026-02-12,650.0,658.9,645.0,651.2,0.18,13587.0,730.9,555.0
ICFCD88,2026-02-12,1125.7,1125.8,1125.6,1125.7,0.0,200.0,1216.0,1000.0
IGI,2026-02-12,427.4,430.0,423.4,425.6,-0.42,17513.0,664.2,392.0
IHL,2026-02-12,527.4,530.0,508.0,511.0,-3.11,24005.0,831.0,490.0
ILBS,2026-02-12,957.0,967.0,915.0,956.0,-0.1,8691.0,1311.0,795.2
ILI,2026-02-12,436.0,443.9,436.0,437.3,0.3,14488.0,530.0,405.0
JBBL,2026-02-12,333.9,341.7,328.4,337.0,0.93,91669.0,413.0,295.0
JBLB,2026-02-12,1312.0,1325.0,1307.0,1316.0,0.3,5937.0,1644.0,1270.7
JBLBP,2026-02-12,100.0,100.0,100.0,100.0,0.0,57386.0,100.0,100.0
JFL,2026-02-12,430.0,434.0,425.0,425.0,-1.16,11212.0,625.0,395.0
JHAPA,2026-02-12,1305.3,1316.0,1285.0,1300.0,-0.41,9500.0,1749.0,293.4
JOSHI,2026-02-12,307.1,315.0,307.1,307.6,0.16,128416.0,487.0,254.0
JSLBB,2026-02-12,1152.0,1152.0,1135.0,1135.0,-1.48,246.0,1860.4,1059.0
