Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
ACLBSL,2026-03-19,990.0,1004.0,990.0,998.5,0.86,5849.0,1240.0,900.0
ADBL,2026-03-19,310.0,327.9,310.0,326.5,5.32,251474.0,344.9,272.3
AHL,2026-03-19,525.0,535.3,523.4,535.0,1.9,15642.0,765.8,462.6
AHPC,2026-03-19,315.0,323.3,312.0,312.7,-0.73,1029656.0,334.0,242.5
AKJCL,2026-03-19,419.9,431.8,412.0,414.1,-1.38,1412159.0,431.8,172.9
AKPL,2026-03-19,305.0,317.0,301.2,310.0,1.64,1694102.0,317.0,216.1
ALBSL,2026-03-19,1117.2,1174.0,1117.2,1160.0,3.83,34337.0,1250.0,771.0
ALICL,2026-03-19,475.0,485.5,470.9,483.7,1.83,87150.0,779.0,430.0
ANLB,2026-03-19,6370.0,6599.0,6266.1,6500.0,2.04,710.0,6800.0,4920.0
API,2026-03-19,347.8,353.9,342.2,344.4,-0.98,1528471.0,355.0,258.8
AVYAN,2026-03-19,1070.0,1122.0,1070.0,1098.0,2.62,31275.0,1225.0,906.0
BANDIPUR,2026-03-19,930.0,954.0,930.0,943.0,1.4,109303.0,1233.0,285.0
BARUN,2026-03-19,383.5,401.5,377.2,393.0,2.48,580488.0,589.0,292.1
BBC,2026-03-19,4910.0,4910.0,4794.0,4858.0,-1.06,872.0,6661.6,4480.0
BEDC,2026-03-19,538.0,545.7,526.0,533.5,-0.84,30241.0,929.1,500.0
BFC,2026-03-19,480.0,504.0,480.0,502.0,4.58,60059.0,594.9,411.5
BGWT,2026-03-19,767.0,783.0,767.0,770.1,0.4,5041.0,1110.0,730.7
BHCL,2026-03-19,586.0,597.7,580.0,593.0,1.19,66263.0,699.0,292.1
BHDC,2026-03-19,501.0,510.5,501.0,508.0,1.4,79138.0,706.0,426.0
BHL,2026-03-19,257.0,264.4,256.0,257.7,0.27,1477841.0,344.0,164.0
BHPL,2026-03-19,586.1,620.0,586.1,607.0,3.57,106402.0,1308.4,503.1
BNHC,2026-03-19,376.0,379.0,372.0,377.0,0.27,46917.0,613.8,313.1
BNL,2026-03-19,15048.0,15348.9,15048.0,15348.9,2.0,20.0,20338.4,14635.8
BNT,2026-03-19,12000.0,12011.0,11950.0,12000.0,0.0,197.0,13550.0,10660.0
BPCL,2026-03-19,711.5,774.1,711.5,752.0,5.69,161981.0,1065.0,380.7
BUNGAL,2026-03-19,632.1,657.0,632.1,645.0,2.04,33530.0,822.0,302.4
C30MF,2026-03-19,9.99,10.33,9.99,10.12,1.3,11500.0,10.71,8.7
CBBL,2026-03-19,932.0,950.0,931.1,935.0,0.32,57682.0,1144.8,821.5
CBLD88,2026-03-19,1185.0,1185.0,1185.0,1175.0,-0.84,27.0,1265.0,1108.0
CFCL,2026-03-19,565.0,575.0,557.0,573.3,1.47,49887.0,651.0,445.1
CGH,2026-03-19,852.1,875.0,851.3,858.5,0.75,57623.0,1150.0,800.2
CHCL,2026-03-19,506.0,515.0,499.1,509.7,0.73,110706.0,599.6,456.0
CHDC,2026-03-19,2520.0,2538.0,2506.0,2530.0,0.4,46339.0,2997.9,1990.0
CHL,2026-03-19,323.3,330.0,318.0,326.0,0.84,256804.0,551.0,223.4
CIT,2026-03-19,1850.0,1850.0,1822.0,1840.0,-0.54,15716.0,2168.0,1730.8
CITY,2026-03-19,492.0,515.0,490.0,514.0,4.47,51472.0,998.4,461.0
CKHL,2026-03-19,710.0,783.0,700.0,744.0,4.79,15714.0,804.0,550.0
CLI,2026-03-19,475.0,491.9,475.0,490.0,3.16,55838.0,540.0,411.0
CMF2,2026-03-19,10.03,10.22,10.03,10.22,1.89,7150.0,10.86,8.64
CORBL,2026-03-19,1818.3,1960.9,1679.0,1960.9,7.84,59999.0,2800.0,1431.0
CREST,2026-03-19,1385.0,1432.0,1385.0,1429.5,3.21,25911.0,2458.2,302.5
CSY,2026-03-19,9.5,9.79,9.33,9.47,-0.32,8950.0,10.0,8.87
CYCL,2026-03-19,1581.0,1606.0,1581.0,1605.0,1.52,2186.0,2040.0,1462.0
CZBIL,2026-03-19,210.3,231.0,210.3,227.0,7.94,622383.0,240.1,183.0
DDBL,2026-03-19,870.2,887.0,870.2,885.0,1.7,15824.0,1010.0,759.0
DHEL,2026-03-19,705.0,717.2,698.1,705.1,0.01,57051.0,918.9,402.2
DHPL,2026-03-19,335.0,340.0,328.5,339.0,1.19,37562.0,423.0,265.0
DLBS,2026-03-19,1349.0,1368.9,1349.0,1352.1,0.23,897.0,1684.0,1240.0
DOLTI,2026-03-19,524.8,524.8,515.0,520.0,-0.91,20589.0,742.0,470.6
DORDI,2026-03-19,321.1,327.4,318.3,319.5,-0.5,520092.0,450.0,213.1
EBL,2026-03-19,706.0,716.5,704.0,714.0,1.13,51308.0,780.6,594.0
EBLD85,2026-03-19,1170.1,1190.0,1170.1,1190.0,1.7,85.0,1250.0,1102.5
EBLD86,2026-03-19,1127.0,1127.0,1092.0,1100.0,-2.4,125.0,1150.0,1010.2
EBLD91,2026-03-19,1115.0,1130.0,1115.0,1125.0,0.9,280.0,1142.4,994.4
EBLEB89,2026-03-19,1102.0,1102.0,1102.0,1102.0,0.0,50.0,1117.9,996.1
EDBL,2026-03-19,604.1,626.0,604.1,623.0,3.13,54267.0,717.3,545.0
