Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
ACLBSL,2026-03-10,988.0,1023.0,988.0,997.0,0.91,9390.0,1240.0,900.0
ADBL,2026-03-10,330.0,330.0,310.0,317.0,-3.94,163883.0,344.9,272.3
AHL,2026-03-10,535.6,550.0,530.0,540.0,0.82,26899.0,765.8,462.6
AHPC,2026-03-10,315.0,315.0,290.3,303.0,-3.81,1020752.0,334.0,242.5
AKJCL,2026-03-10,394.0,394.0,373.4,377.8,-4.11,1834065.0,409.0,172.9
AKPL,2026-03-10,303.0,304.0,283.6,289.0,-4.62,1022629.0,306.5,216.1
ALBSL,2026-03-10,1191.0,1191.0,1119.2,1167.5,-1.97,25883.0,1250.0,771.0
ALICL,2026-03-10,489.0,489.6,462.0,480.0,-1.84,122617.0,780.0,430.0
ANLB,2026-03-10,6600.0,6600.0,6341.1,6341.1,-3.92,107.0,6800.0,4895.0
API,2026-03-10,345.0,347.0,323.0,341.0,-1.16,1842222.0,347.0,258.8
AVYAN,2026-03-10,1060.0,1060.0,995.0,1039.0,-1.98,23583.0,1225.0,906.0
BANDIPUR,2026-03-10,1058.0,1058.0,1000.0,1017.0,-3.88,168640.0,1233.0,285.0
BARUN,2026-03-10,390.0,390.0,367.9,374.0,-4.1,392373.0,589.0,292.1
BBC,2026-03-10,5050.0,5050.0,4793.0,4890.0,-3.17,1394.0,6661.6,4480.0
BEDC,2026-03-10,554.7,555.6,515.0,541.0,-2.47,35598.0,960.0,500.0
BFC,2026-03-10,507.6,507.6,490.0,497.2,-2.05,56492.0,616.0,411.5
BGWT,2026-03-10,811.9,828.0,770.1,789.0,-2.82,8932.0,1110.0,730.7
BHCL,2026-03-10,651.0,651.0,605.0,617.0,-5.22,97238.0,699.0,292.1
BHDC,2026-03-10,522.0,522.0,489.1,505.0,-3.26,87403.0,706.0,426.0
BHL,2026-03-10,229.8,238.0,212.0,222.0,-3.39,1133814.0,353.0,164.0
BHPL,2026-03-10,620.0,620.0,585.0,588.0,-5.16,74998.0,1308.4,503.1
BNHC,2026-03-10,371.0,381.0,357.0,380.0,2.43,104979.0,613.8,313.1
BNL,2026-03-10,15700.0,15700.0,15657.0,15657.0,-0.27,40.0,21176.9,14635.8
BNT,2026-03-10,12522.0,12522.0,11900.0,11900.0,-4.97,268.0,13550.0,10660.0
BPCL,2026-03-10,800.0,800.0,750.0,769.0,-3.88,218668.0,1065.0,380.7
BUNGAL,2026-03-10,727.0,727.0,680.0,689.9,-5.1,42165.0,822.0,302.4
C30MF,2026-03-10,10.01,10.11,9.92,9.93,-0.8,2300.0,10.71,8.65
CBBL,2026-03-10,995.2,1015.1,950.0,975.0,-2.03,56660.0,1144.8,821.5
CBLD88,2026-03-10,1186.0,1186.0,1186.0,1186.0,0.0,25.0,1265.0,1108.0
CFCL,2026-03-10,570.0,570.0,549.0,558.0,-2.11,51162.0,651.0,445.1
CGH,2026-03-10,918.0,918.0,864.0,877.0,-4.47,86634.0,1150.0,800.2
CHCL,2026-03-10,519.1,525.0,492.0,500.1,-3.66,154523.0,599.6,456.0
CHDC,2026-03-10,2717.0,2717.0,2585.0,2624.0,-3.42,54268.0,2997.9,1990.0
CHL,2026-03-10,313.6,324.3,301.0,313.1,-0.16,322318.0,551.0,223.4
CIT,2026-03-10,1913.0,1913.0,1800.0,1868.0,-2.35,31528.0,2168.0,1730.8
