Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
ACLBSL,2026-02-25,958.5,977.0,958.5,977.0,1.93,370.0,1269.0,900.0
ADBL,2026-02-25,293.5,295.5,291.0,294.6,0.37,36465.0,344.9,272.3
AHL,2026-02-25,500.0,510.0,482.0,500.0,0.0,10920.0,839.9,482.0
AHPC,2026-02-25,277.0,277.0,270.3,275.0,-0.72,86213.0,334.0,242.5
AKJCL,2026-02-25,361.0,365.9,352.0,352.0,-2.49,803610.0,396.0,172.9
AKPL,2026-02-25,262.0,262.0,257.2,260.0,-0.76,125242.0,306.5,216.1
ALBSL,2026-02-25,1048.6,1101.0,1045.0,1101.0,5.0,11701.0,1250.0,771.0
ALICL,2026-02-25,443.0,450.0,440.0,444.3,0.29,59466.0,831.0,430.0
ANLB,2026-02-25,6394.9,6394.9,6300.0,6357.9,-0.58,259.0,6800.0,4700.0
API,2026-02-25,300.7,304.0,295.0,302.0,0.43,271738.0,335.0,258.8
AVYAN,2026-02-25,955.0,975.0,955.0,970.0,1.57,2716.0,1245.0,906.0
BANDIPUR,2026-02-25,966.9,980.0,936.0,957.0,-1.02,108341.0,1233.0,285.0
BARUN,2026-02-25,342.0,348.0,341.3,346.0,1.17,54797.0,589.0,292.1
BBC,2026-02-25,4600.5,4683.7,4600.5,4607.2,0.15,431.0,6661.6,4480.0
BEDC,2026-02-25,518.0,519.0,509.0,510.0,-1.54,8148.0,960.0,501.0
BFC,2026-02-25,460.0,467.8,455.0,459.2,-0.17,16431.0,684.0,411.5
BGWT,2026-02-25,730.7,753.0,730.7,751.0,2.78,1385.0,1170.0,730.7
BHCL,2026-02-25,590.0,602.0,587.1,592.0,0.34,54007.0,699.0,292.1
BHDC,2026-02-25,479.0,479.0,470.0,470.7,-1.73,28154.0,706.0,426.0
BHL,2026-02-25,200.0,200.0,195.0,197.8,-1.1,78767.0,376.0,164.0
BHPL,2026-02-25,555.7,557.8,549.1,554.9,-0.14,13692.0,1308.4,503.1
BNHC,2026-02-25,340.0,345.0,334.0,334.1,-1.74,17451.0,613.8,313.1
BOKD86,2026-02-25,1100.0,1100.0,1100.0,1100.0,0.0,100.0,1139.3,1005.5
BPCL,2026-02-25,700.0,717.0,700.0,710.0,1.43,51706.0,1065.0,380.7
BUNGAL,2026-02-25,650.0,660.5,643.0,649.0,-0.15,18029.0,822.0,302.4
C30MF,2026-02-25,9.53,9.53,9.53,9.53,0.0,500.0,10.71,8.65
CBBL,2026-02-25,930.0,938.0,924.0,931.0,0.11,11098.0,1144.8,821.5
CBLD88,2026-02-25,1189.0,1189.0,1189.0,1189.0,0.0,50.0,1265.0,1108.0
CFCL,2026-02-25,539.8,541.7,518.0,523.0,-3.11,36130.0,676.9,445.1
CGH,2026-02-25,815.1,830.0,815.1,825.1,1.23,11690.0,1150.0,800.2
CHCL,2026-02-25,460.0,470.0,456.1,466.0,1.3,21656.0,599.6,456.0
CHDC,2026-02-25,2531.1,2550.5,2490.0,2506.5,-0.97,25934.0,2997.9,1990.0
CHL,2026-02-25,275.0,281.8,275.0,280.0,1.82,28569.0,576.0,223.4
CIT,2026-02-25,1750.0,1755.0,1748.0,1755.0,0.29,5638.0,2200.0,1730.8
CITY,2026-02-25,472.0,478.0,468.0,471.0,-0.21,4673.0,998.4,461.0
CKHL,2026-02-25,662.3,683.0,662.3,683.0,3.13,6559.0,829.0,550.0
CLI,2026-02-25,456.1,472.2,456.1,471.0,3.27,19924.0,752.5,411.0
CMF2,2026-02-25,9.85,10.18,9.85,10.18,3.35,4369.0,10.86,8.64
CORBL,2026-02-25,1606.1,1649.0,1606.1,1620.2,0.88,2649.0,2800.0,1431.0
CREST,2026-02-25,1372.0,1374.0,1323.0,1370.0,-0.15,16676.0,2458.2,302.5
CSY,2026-02-25,9.0,9.91,9.0,9.32,3.56,212030.0,10.0,8.87
CYCL,2026-02-25,1528.0,1588.9,1528.0,1580.0,3.4,6059.0,2040.0,1462.0
CZBIL,2026-02-25,189.0,189.9,188.3,189.6,0.32,20314.0,240.1,183.0
DDBL,2026-02-25,830.0,836.5,830.0,835.0,0.6,1776.0,1010.0,759.0
DHEL,2026-02-25,719.0,730.0,696.0,730.0,1.53,35376.0,918.9,402.2
DHPL,2026-02-25,303.5,303.5,295.0,296.0,-2.47,2455.0,427.2,265.0
DLBS,2026-02-25,1280.1,1320.0,1280.1,1300.0,1.55,490.0,1959.0,1240.0
DOLTI,2026-02-25,495.0,513.9,495.0,509.0,2.83,2328.0,772.0,470.6
DORDI,2026-02-25,275.5,279.1,272.0,274.0,-0.54,45870.0,465.0,213.1
EBL,2026-02-25,671.0,672.0,665.0,670.0,-0.15,35579.0,780.6,594.0
EBLD85,2026-02-25,1151.0,1151.0,1151.0,1151.0,0.0,25.0,1250.0,1102.5
EBLD91,2026-02-25,1091.1,1091.1,1091.0,1091.0,-0.01,125.0,1142.4,994.4
EBLEB89,2026-02-25,1072.0,1079.0,1072.0,1079.0,0.65,50.0,1117.9,996.1
EDBL,2026-02-25,592.5,592.7,582.0,582.6,-1.67,4317.0,768.0,545.0
EHPL,2026-02-25,407.0,413.3,405.0,407.1,0.02,31879.0,924.1,385.0
ENL,2026-02-25,918.0,918.0,894.5,910.0,-0.87,408.0,1393.0,866.0
FMDBL,2026-02-25,799.0,809.0,792.1,798.9,-0.01,39083.0,1038.8,718.0
FOWAD,2026-02-25,1041.0,1047.0,1033.5,1043.0,0.19,1091.0,1324.4,1012.4
GBBD85,2026-02-25,1065.0,1065.0,1065.0,1065.0,0.0,25.0,1135.0,1020.0
GBBL,2026-02-25,398.0,400.8,395.0,400.7,0.68,13803.0,498.0,367.4
GBIME,2026-02-25,224.0,225.0,222.0,224.9,0.4,44087.0,278.9,210.7
GBIMEP,2026-02-25,100.0,100.0,100.0,100.0,0.0,17073.0,122.0,100.0
GBIMESY2,2026-02-25,8.99,9.35,8.99,9.35,4.0,6000.0,10.18,8.5
GBLBS,2026-02-25,751.0,763.0,744.1,755.0,0.53,4502.0,987.0,698.0
GCIL,2026-02-25,407.8,415.0,407.8,411.5,0.91,7577.0,613.0,400.0
GFCL,2026-02-25,637.59,640.0,628.0,628.0,-1.5,8852.0,796.0,528.3
GHL,2026-02-25,238.0,238.0,233.0,235.0,-1.26,107101.0,318.0,197.1
GIBF1,2026-02-25,10.7,10.83,10.58,10.65,-0.47,8050.0,11.68,9.3
GILB,2026-02-25,1111.0,1113.0,1111.0,1111.1,0.01,362.0,1441.6,1100.0
GLBSL,2026-02-25,1931.0,1937.0,1900.0,1905.0,-1.35,630.0,3381.3,1838.6
